p,c,num
start,mode_d,853248
mode_d,mode_d4,142576
mode_d4,mode_cmt,142576
mode_cmt,mode_cmt2,427728
mode_d4,mode_sqli,142576
mode_sqli,mode_error,0
mode_sqli,mode_bool,852144
mode_bool,mode_and,5576
mode_and,mode_unf,5576
mode_unf,mode_bf3,932960
mode_bf3,mode_fa,932960
mode_fa,mode_fa5,0
mode_fa,mode_fa4,0
mode_fa,mode_fa3,722840
mode_fa,mode_fa2,1445680
mode_fa,mode_fa1,1445680
mode_unf,mode_bf2,746368
mode_bf2,mode_ta,746368
mode_ta,mode_ta5,0
mode_ta,mode_ta4,0
mode_ta,mode_ta3,0
mode_ta,mode_ta2,573376
mode_ta,mode_ta1,573376
mode_unf,mode_fa,233240
mode_bool,mode_or,2408832
mode_or,mode_bt,2408832
mode_bt,mode_bt2,2400944
mode_bt2,mode_bt2_12,323408
mode_bt2_12,mode_unf,323408
mode_bt2_12,mode_unt,323408
mode_unt,mode_unt6,195840
mode_unt6,mode_ta,195840
mode_unt,mode_unt5,0
mode_unt5,mode_ta,0
mode_unt,mode_unt4,0
mode_unt4,mode_fa,0
mode_unt,mode_unt3,489600
mode_unt3,mode_fa,489600
mode_unt,mode_unt2,1958400
mode_unt2,mode_fa,1958400
mode_unt,mode_unt1,195840
mode_unt1,mode_ta,195840
mode_bt2,mode_bt2_11,22304
mode_bt2_11,mode_unf,22304
mode_bt2,mode_bt2_10,31552
mode_bt2_10,mode_unt,31552
mode_bt2,mode_bt2_9,4352
mode_bt2_9,mode_ta,8704
mode_bt2,mode_bt2_8,323408
mode_bt2_8,mode_unf,323408
mode_bt2_8,mode_unt,323408
mode_bt2,mode_bt2_7,323408
mode_bt2_7,mode_unt,323408
mode_bt2_7,mode_unf,323408
mode_bt2,mode_bt2_6,0
mode_bt2,mode_bt2_5,0
mode_bt2,mode_bt2_4,136
mode_bt2,mode_bt2_3,136
mode_bt2,mode_bt2_2,457232
mode_bt2_2,mode_unf,914464
mode_bt2,mode_bt2_1,915008
mode_bt2_1,mode_unt,1830016
mode_bt,mode_unt,7888
mode_sqli,mode_piggy,432
mode_sqli,mode_union,2880
mode_union,mode_u4,1152
mode_u4,mode_up,1152
mode_up,mode_up2,1152
mode_up,mode_up1,1152
mode_union,mode_u3,288
mode_union,mode_u2,1152
mode_u2,mode_up,1152
mode_union,mode_u1,288
mode_d,mode_d3,142576
mode_d3,mode_cmt,142576
mode_d3,mode_sqli,142576
mode_d,mode_d2,284048
mode_d2,mode_bool,284048
mode_d,mode_d1,284048
mode_d1,mode_bool,284048
start,mode_s,853248
mode_s,mode_s7,0
mode_s7,mode_cmt,0
mode_s7,mode_sqli,0
mode_s,mode_s6,0
mode_s6,mode_bool,0
mode_s,mode_s5,0
mode_s5,mode_bool,0
mode_s,mode_s4,142576
mode_s4,mode_cmt,142576
mode_s4,mode_sqli,142576
mode_s,mode_s3,142576
mode_s3,mode_cmt,142576
mode_s3,mode_sqli,142576
mode_s,mode_s2,284048
mode_s2,mode_bool,284048
mode_s,mode_s1,284048
mode_s1,mode_bool,284048
start,mode_n,711224
mode_n,mode_n5,0
mode_n5,mode_bool,0
mode_n,mode_n4,142576
mode_n4,mode_cmt,142576
mode_n4,mode_sqli,142576
mode_n,mode_n3,142576
mode_n3,mode_cmt,142576
mode_n3,mode_sqli,142576
mode_n,mode_n2,284048
mode_n2,mode_bool,284048
mode_n,mode_n1,142024
mode_n1,mode_bool,142024
